Rank,Country Name,Country Code,Region,Income Group,Institutions,Open Markets,Economic Freedom Index
1,Singapore,SGP,East Asia & Pacific,High income,95.76719576719577,87.65432098765432,91.71075837742504
2,Denmark,DNK,Europe & Central Asia,High income,99.2063492063492,82.98059964726632,91.09347442680776
3,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,89.15343915343915,92.06349206349206,90.60846560846561
4,Ireland,IRL,Europe & Central Asia,High income,95.76719576719577,84.74426807760142,90.2557319223986
5,"Macao SAR, China",MAC,East Asia & Pacific,High income,86.77248677248677,93.47442680776014,90.12345679012346
6,Lithuania,LTU,Europe & Central Asia,High income,89.94708994708995,87.9188712522046,88.93298059964727
7,Switzerland,CHE,Europe & Central Asia,High income,97.61904761904762,79.98236331569665,88.80070546737213
8,Finland,FIN,Europe & Central Asia,High income,99.73544973544973,73.6331569664903,86.68430335097003
9,Luxembourg,LUX,Europe & Central Asia,High income,97.88359788359789,74.25044091710758,86.06701940035273
10,Latvia,LVA,Europe & Central Asia,High income,86.24338624338624,83.86243386243386,85.05291005291005
11,Brunei Darussalam,BRN,East Asia & Pacific,High income,76.98412698412699,92.76895943562612,84.87654320987656
12,Netherlands,NLD,Europe & Central Asia,High income,96.03174603174602,72.57495590828925,84.30335097001765
13,Sweden,SWE,Europe & Central Asia,High income,96.03174603174602,71.6931216931217,83.86243386243386
14,Slovenia,SVN,Europe & Central Asia,High income,83.06878306878306,83.50970017636685,83.28924162257496
15,Seychelles,SYC,Sub-Saharan Africa,High income,71.16402116402116,94.17989417989418,82.67195767195767
16,Czechia,CZE,Europe & Central Asia,High income,88.35978835978835,76.98412698412699,82.67195767195767
17,Austria,AUT,Europe & Central Asia,High income,93.3862433862434,71.34038800705468,82.36331569664904
18,Estonia,EST,Europe & Central Asia,High income,92.85714285714286,71.8694885361552,82.36331569664904
19,Belgium,BEL,Europe & Central Asia,High income,89.41798941798942,75.22045855379189,82.31922398589066
20,Cyprus,CYP,Europe & Central Asia,High income,78.04232804232805,85.44973544973544,81.74603174603175
21,San Marino,SMR,Europe & Central Asia,High income,84.65608465608466,77.95414462081129,81.30511463844798
22,Malta,MLT,Middle East & North Africa,High income,75.66137566137566,86.86067019400353,81.2610229276896
23,Germany,DEU,Europe & Central Asia,High income,93.91534391534391,64.81481481481482,79.36507936507937
24,United Arab Emirates,ARE,Middle East & North Africa,High income,77.77777777777777,79.54144620811287,78.65961199294532
25,Canada,CAN,North America,High income,91.7989417989418,64.19753086419753,77.99823633156967
26,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,79.36507936507937,74.6031746031746,76.98412698412699
27,Bahrain,BHR,Middle East & North Africa,High income,70.8994708994709,82.62786596119929,76.76366843033509
28,Oman,OMN,Middle East & North Africa,High income,73.28042328042328,79.89417989417989,76.58730158730158
29,Portugal,PRT,Europe & Central Asia,High income,83.06878306878306,69.9294532627866,76.49911816578484
30,Norway,NOR,Europe & Central Asia,High income,96.56084656084656,55.55555555555555,76.05820105820105
31,Georgia,GEO,Europe & Central Asia,Upper middle income,67.19576719576719,84.30335097001763,75.7495590828924
32,Iceland,ISL,Europe & Central Asia,High income,92.59259259259258,58.2010582010582,75.39682539682539
33,Slovak Republic,SVK,Europe & Central Asia,High income,70.63492063492063,79.98236331569666,75.30864197530865
34,France,FRA,Europe & Central Asia,High income,85.97883597883597,64.6384479717813,75.30864197530863
35,Qatar,QAT,Middle East & North Africa,High income,78.04232804232805,71.95767195767195,75.0
36,United Kingdom,GBR,Europe & Central Asia,High income,91.7989417989418,56.966490299823626,74.38271604938271
37,New Zealand,NZL,East Asia & Pacific,High income,97.08994708994709,50.970017636684304,74.0299823633157
38,Korea,KOR,East Asia & Pacific,High income,85.97883597883597,59.61199294532628,72.79541446208113
39,Costa Rica,CRI,Latin America & Caribbean,High income,74.33862433862433,70.01763668430335,72.17813051146385
40,Italy,ITA,Europe & Central Asia,High income,75.66137566137566,68.1657848324515,71.91358024691357
41,Malaysia,MYS,East Asia & Pacific,Upper middle income,71.16402116402116,72.66313932980599,71.91358024691357
42,Japan,JPN,East Asia & Pacific,High income,91.53439153439153,52.02821869488537,71.78130511463846
43,Palau,PLW,East Asia & Pacific,High income,80.42328042328043,61.7283950617284,71.07583774250442
44,Australia,AUS,East Asia & Pacific,High income,94.17989417989418,47.44268077601411,70.81128747795414
45,Aruba,ABW,Latin America & Caribbean,High income,86.77248677248677,53.08641975308641,69.9294532627866
46,Spain,ESP,Europe & Central Asia,High income,78.3068783068783,60.40564373897707,69.35626102292768
47,Poland,POL,Europe & Central Asia,High income,74.60317460317461,63.40388007054674,69.00352733686067
48,Armenia,ARM,Europe & Central Asia,Upper middle income,57.67195767195767,80.24691358024691,68.95943562610229
49,Croatia,HRV,Europe & Central Asia,High income,66.4021164021164,69.75308641975309,68.07760141093475
50,Bulgaria,BGR,Europe & Central Asia,High income,60.84656084656085,75.22045855379189,68.03350970017637
51,Greece,GRC,Europe & Central Asia,High income,67.19576719576719,68.69488536155202,67.9453262786596
52,Hungary,HUN,Europe & Central Asia,High income,64.02116402116403,70.63492063492063,67.32804232804233
53,Chile,CHL,Latin America & Caribbean,High income,78.83597883597884,53.968253968253954,66.40211640211639
54,Barbados,BRB,Latin America & Caribbean,High income,74.86772486772486,57.58377425044091,66.22574955908289
55,Montenegro,MNE,Europe & Central Asia,Upper middle income,60.58201058201058,70.37037037037037,65.47619047619048
56,Jordan,JOR,Middle East & North Africa,Lower middle income,62.698412698412696,68.07760141093475,65.38800705467372
57,United States,USA,North America,High income,87.30158730158729,43.033509700176374,65.16754850088184
58,Israel,ISR,Middle East & North Africa,High income,80.15873015873015,48.76543209876544,64.4620811287478
59,St. Lucia,LCA,Latin America & Caribbean,Upper middle income,66.93121693121694,61.904761904761905,64.41798941798942
60,Albania,ALB,Europe & Central Asia,Upper middle income,57.67195767195767,69.48853615520282,63.58024691358025
61,Kuwait,KWT,Middle East & North Africa,High income,65.60846560846561,60.84656084656084,63.22751322751323
62,Cayman Islands,CYM,Latin America & Caribbean,High income,83.06878306878306,40.74074074074074,61.9047619047619
63,Thailand,THA,East Asia & Pacific,Upper middle income,53.96825396825396,69.48853615520282,61.72839506172839
64,North Macedonia,MKD,Europe & Central Asia,Upper middle income,56.08465608465608,63.932980599647266,60.00881834215167
65,Saudi Arabia,SAU,Middle East & North Africa,High income,69.84126984126985,49.91181657848324,59.876543209876544
66,Kosovo,XKX,Europe & Central Asia,Upper middle income,50.264550264550266,69.13580246913581,59.70017636684304
67,Kiribati,KIR,East Asia & Pacific,Lower middle income,56.34920634920635,62.61022927689595,59.47971781305115
68,Maldives,MDV,South Asia,Upper middle income,49.47089947089947,69.48853615520282,59.479717813051145
69,Bhutan,BTN,South Asia,Lower middle income,65.07936507936509,51.85185185185185,58.46560846560847
70,Romania,ROU,Europe & Central Asia,High income,66.93121693121694,49.64726631393298,58.28924162257496
71,Morocco,MAR,Middle East & North Africa,Lower middle income,47.883597883597886,68.07760141093475,57.98059964726632
72,Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,61.37566137566137,53.96825396825397,57.67195767195767
73,Namibia,NAM,Sub-Saharan Africa,Lower middle income,63.49206349206349,51.1463844797178,57.319223985890645
74,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,74.86772486772486,39.682539682539684,57.27513227513227
75,Panama,PAN,Latin America & Caribbean,High income,48.41269841269841,65.25573192239858,56.83421516754849
76,Grenada,GRD,Latin America & Caribbean,Upper middle income,63.22751322751323,50.08818342151676,56.657848324514994
77,St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,72.48677248677248,40.476190476190474,56.48148148148148
78,Botswana,BWA,Sub-Saharan Africa,Upper middle income,66.66666666666667,46.208112874779545,56.43738977072311
79,Serbia,SRB,Europe & Central Asia,Upper middle income,53.7037037037037,58.90652557319223,56.30511463844797
80,Samoa,WSM,East Asia & Pacific,Upper middle income,67.46031746031746,45.14991181657848,56.30511463844797
81,Peru,PER,Latin America & Caribbean,Upper middle income,47.61904761904762,63.66843033509699,55.6437389770723
82,El Salvador,SLV,Latin America & Caribbean,Upper middle income,38.095238095238095,72.66313932980599,55.37918871252204
